title,author,date_banned,country,source,note
Lysistrata,Aristophanes,1930,USA,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=28,
Ars Amatoria,Ovid,1929,USA,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=28,
De Asino,"Apuleius, Lucius",1931,USA,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=28,
The Merchant of Venice,"Shakespeare, William",USA,1931,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=51,eliminated from high school curricula
Moll Flanders,"Defoe, Daniel",USA,1930,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=62,
Candide,Voltaire,USA,1929,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=65,
The Scarlet Letter,"Hawthorne, Nathaniel",USA,1852,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=82,
Wonder Stories,"Andersen, Hans Christian",USA,1954,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=82,
Aurora Leigh,"Browning, Elizabeth Barrett",USA,1857,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=83,
Lord Walter's Wife,"Browning, Elizabeth Barrett",England,1857,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=83,
On the Origin of Species,"Darwin, Charles",England,1859,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=83,
On the Origin of Species,"Darwin, Charles",USA,1925,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=83,
Mademoiselle de Maupin,"Gautier, Théophile",France,1860,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=85,not banned per se but lost support of the Academy
Mademoiselle de Maupin,"Gautier, Théophile",USA,1917,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=85,
Mémoire de Charles Baudelauire,"Gautier, Théophile",England,1871,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=85,not banned per se but highly criticized
Uncle Tom's Cabin,"Stowe, Harriet Beecher",USA,1852,"https://sites.uab.edu/humanrights/2023/01/12/book-bans-in-the-united-states-history-says-it-all/#:~:text=Uncle%20Tom's%20Cabin%20by%20Harriet,individuals%20against%20the%20South's%20slavery.",
Capital: A Critique of Political Economy,"Marx, Karl",USA,1950,https://thecensorshipfiles.wordpress.com/volume-1/issue-2/the-communist-manifesto/,not banned per se but censored
Adam Bede,"Eliot, George",England,1859,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=87,
Leaves of Grass,"Whitman, Walt",USA,1855,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=87,
Flowers of Evil,"Baudelaire, Charles",France,1857,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=88,
Madame Bovary,"Flaubert, Gustave",France,1856,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=89,Flaubert was sued but acquitted
Kreutzer Sonata,"Tolstoy, Leo",USA,1890,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=91,
The Adventures of Tom Sawyer,"Twain, Mark",USA,1876,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=92,banned from specific libraries
The Adventures of Huckleberry Finn,"Twain, Mark",USA,1885,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=92,banned from specific libraries
The Queen Mother,"Swinburne, Algernon Charles",England,1860,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=94,
Nana,"Zola, Émile",USA,1954,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=96,
Une Vie,"Maupassant, Guy de",France,1883,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=97,
Esther Waters,"Moore, George",England,1894,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=98,Libraries refused to stock the work
A Story-Teller's Holiday,"Moore, George",USA,1929,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=98,Customs refused admittance of the work
Man and Superman,"Shaw, George Bernard",USA,1905,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=98,New York Public Library withdrew the work
The Adventures of the Black Girl in Her Search for God,"Shaw, George Bernard",England,1933,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=99,banned from Cambridge Public Library
Salomé,"Wilde, Oscar",USA,1895,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=100,
Studies in the Psychology of Sex,"Ellis, Havelock",England,1898,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=100,Regarding all volumes
Studies in the Psychology of Sex,"Ellis, Havelock",USA,1901,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=101,Regarding all volumes
Studies in the Psychology of Sex,"Ellis, Havelock",Ireland,1953,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=101,Regarding all volumes
Casanova's Homecoming,"Schnitzler, Arthur",USA,1924,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=101,English translation indicted as obscene
A Fleet in Being,"Kipling, Rudyard",England,1898,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=104,Not banned but suppressed
Leninism,"Stalin, Joseph",USA,,,surely banned but need to check
The Necessity of Communism,"Murry, John Middleton",USA,,,surely banned but need to check
Sister Carrie,"Dreiser, Theodore",USA,1900,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=107,Withdrawn and revised
The Genius,"Dreiser, Theodore",USA,1916,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=107,Not banned but suppressed
An American Tragedy,"Dreiser, Theodore",USA,1930,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=107,Banned but in 1935 receivable by mail
Dawn: A History of Myself,"Dreiser, Theodore",Ireland,1932,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=107,
Many Marriages,"Anderson, Sherwood",England,1923,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=109,Aroused legal action
Dark Laughter,"Anderson, Sherwood",USA,1930,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=109,Blacklisted in Boston
"Horses and Men: Tales, Long and Short, from Our American Life","Anderson, Sherwood",Ireland,1931,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=109,
The Jungle,"Sinclair, Upton",USA,1910,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=109,Attempt at banning the book failed
Oil!,"Sinclair, Upton",USA,1927,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=110,Banned in Boston
Jurgen: A Comedy of Justice,"Cabell, James Branch",USA,1920,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=110,Prosecuted
History of the Russian Revolution,"Trotsky, Leon",USA,1930,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=111,All works banned
The Revolution Betrayed: What Is the Soviet Union and Where Is It Going?,"Trotsky, Leon",USA,1930,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=111,All works banned
"Married Love; or, Love in Marriage","Stopes, Marie",USA,1921,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=112,Conviction upon sale
"Married Love; or, Love in Marriage","Stopes, Marie",Ireland,1939,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=112
Ulysses,"Joyce, James",USA,1918,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=113,Burned
Ulysses,"Joyce, James",England,1922,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=113,Burned
Ulysses,"Joyce, James",Canada,1922,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=113,Burned
Ulysses,"Joyce, James",Ireland,1922,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=113,Burned
My Fight for Birth Control,"Sanger, Margaret",Ireland,1953,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=115
Women in Love,"Lawrence, D. H.",USA,1922,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=117,Work was seized but not banned
Lady Chatterley's Lover,"Lawrence, D. H.",USA,1929,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=117,Barred by Customs
The Rainbow,"Lawrence, D. H.",England,1929,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=117,
Lady Chatterley's Lover,"Lawrence, D. H.",Ireland,1932,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=117,
Love among the Haystacks,"Lawrence, D. H.",USA,1953,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=118,Blacklisted
Elmer Gantry,"Lewis, Sinclair",USA,1927,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=118,
Elmer Gantry,"Lewis, Sinclair",Ireland,1929,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=119,
Ann Vickers,"Lewis, Sinclair",Ireland,1953,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=119
The Well of Loneliness,"Hall, Radclyffe",England,1928,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=120,Withdrawn from sale
The Well of Loneliness,"Hall, Radclyffe",USA,1929,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=120,
Female,"Clarke, Donald Henderson",USA,1933,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=121,Sued but dismissed
Strange Interlude,"O'Neill, Eugene",USA,1928,https://en.wikipedia.org/wiki/Strange_Interlude,Banned in certain cities
Tropic of Cancer,"Miller, Henry",USA,1934,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=123,
Antic Hay,"Huxley, Aldous",USA,1930,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=124,
Point Counter Point,"Huxley, Aldous",Ireland,1930,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=124,
Brave New World,"Huxley, Aldous",Ireland,1932,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=124,
Eyeless in Gaza,"Huxley, Aldous",Ireland,1936,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=124,
Memoirs of Hecate County,"Wilson, Edmund",USA,1946,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=125,
Sanctuary,"Faulkner, William",USA,1948,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=126,
