title,author,viaf_url,country,date_banned,source,note
Lysistrata,Aristophanes,https://viaf.org/viaf/20962036/,USA,1930,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=28,
Ars Amatoria,Ovid,https://viaf.org/viaf/88342447/,USA,1929,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=28,
De Asino,"Apuleius, Lucius",https://viaf.org/viaf/32115433/,USA,1931,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=28,
The Merchant of Venice,"Shakespeare, William",http://viaf.org/viaf/96994048,USA,1931,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=51,eliminated from high school curricula
Hamlet,"Shakespeare, William",http://viaf.org/viaf/96994048,USA,1909,https://archive.org/details/bannedplayscenso0000sova_z0e4/page/110/mode/2up?view=theater,Not banned but highly censored
Moll Flanders,"Defoe, Daniel",http://viaf.org/viaf/2283158188232920260006,USA,1930,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=62,
Candide,Voltaire,http://viaf.org/viaf/36925746,USA,1929,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=65,
The Scarlet Letter,"Hawthorne, Nathaniel",http://viaf.org/viaf/44435463,USA,1852,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&<seq=82,
Wonder Stories,"Andersen, Hans Christian",http://viaf.org/viaf/4925902,USA,1954,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=82,
Aurora Leigh,"Browning, Elizabeth Barrett",http://viaf.org/viaf/66464493,USA,1857,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=83,
Lord Walter's Wife,"Browning, Elizabeth Barrett",http://viaf.org/viaf/66464493,England,1857,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=83,
On the Origin of Species,"Darwin, Charles",http://viaf.org/viaf/27063124,England,1859,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=83,
