uri,name,sort_name,title,gender,is_organization,has_card,birth_year,death_year,membership_years,viaf_url,wikipedia_url,nationalities,addresses,postal_codes,arrondissements,coordinates,notes,updated
https://shakespeareandco.princeton.edu/members/aldington-richard/,Richard Aldington,"Aldington, Richard",,Male,False,True,1892,1962,1928;1929,http://viaf.org/viaf/7402360,http://en.wikipedia.org/wiki/Richard_Aldington,United Kingdom,"Select Hôtel, 1 place de la Sorbonne, Paris",75005,5,"48.84835, 2.34269",,2020-12-05T15:30:30+00:00
https://shakespeareandco.princeton.edu/members/anderson-margaret/,Margaret C. Anderson,"Anderson, Margaret C.",,Female,False,False,1886,1973,1926;1927,http://viaf.org/viaf/31323380/,https://en.wikipedia.org/wiki/Margaret_C._Anderson,United States,"80 rue de l'Université, Paris",75007,7,"48.85908, 2.32429","The Shakespeare and Company <a href=""https://shakespeareandco.princeton.edu/sources/address-books/"">address books</a> are the sole source for this lending library membership.",2021-10-28T15:54:55.809693+00:00
https://shakespeareandco.princeton.edu/members/antheil-george/,George Antheil,"Antheil, George",,Male,False,False,1900,1959,1923;1933,http://viaf.org/viaf/5120859/,https://en.wikipedia.org/wiki/George_Antheil,United States,"12 rue de l'Odéon, Paris",75006,6,"48.85092, 2.33845",,2021-10-18T19:04:55.804044+00:00
https://shakespeareandco.princeton.edu/members/aragon/,Louis Aragon,"Aragon, Louis",,Male,False,True,1897,1982,,http://viaf.org/viaf/8178518,http://en.wikipedia.org/wiki/Louis_Aragon,France,"12 rue Saint-Pierre, Neuilly-sur-Seine",92200,,"48.88241, 2.27120",,2020-12-28T15:46:16+00:00
https://shakespeareandco.princeton.edu/members/asch/,Nathan Asch,"Asch, Nathan",,Male,False,False,1902,1964,1924,http://viaf.org/viaf/69911963/,https://de.wikipedia.org/wiki/Nathan_Asch,Poland;United States,"Hôtel Istria, 29 rue Campagne Première, Paris",75014,14,"48.83907, 2.33162",,2021-07-10T00:34:57+00:00
https://shakespeareandco.princeton.edu/members/barnes-djuna/,Djuna Barnes,"Barnes, Djuna",,Female,False,False,1892,1982,1925;1926;1927,http://viaf.org/viaf/110217112/,https://en.wikipedia.org/wiki/Djuna_Barnes,United States,"9 rue Romain, Paris",75006,6,"48.84770, 2.32080",,2021-02-28T00:51:58+00:00
https://shakespeareandco.princeton.edu/members/barney-natalie-clifford/,Natalie Clifford Barney,"Barney, Natalie Clifford",,Female,False,False,1876,1972,1920;1921;1922;1923;1924;1925;1926;1928;1929;1930,http://viaf.org/viaf/76311714/,https://en.wikipedia.org/wiki/Natalie_Clifford_Barney,France;United States,"20 rue Jacob, Paris",75006,6,"48.85536, 2.33564",,2021-02-28T00:52:32+00:00
https://shakespeareandco.princeton.edu/members/beach-2/,Joseph Beach,"Beach, Joseph",,Male,False,False,1880,1957,1923;1924,http://viaf.org/viaf/5153628/,,United States,"15 rue des Binelles, Sèvres",92310,,"48.82231, 2.21940",,2020-08-01T22:15:15+00:00
https://shakespeareandco.princeton.edu/members/beach-sylvia/,Sylvia Beach,"Beach, Sylvia",,Female,False,True,1887,1962,1956,http://viaf.org/viaf/35247539,https://en.wikipedia.org/wiki/Sylvia_Beach,France;United States,"12 rue de l'Odéon, Paris",75006,6,"48.85092, 2.33845",,2021-02-28T00:53:12+00:00
https://shakespeareandco.princeton.edu/members/beckett/,Samuel Beckett,"Beckett, Samuel",,Male,False,False,1906,1989,1929;1932,http://viaf.org/viaf/7386737/,https://en.wikipedia.org/wiki/Samuel_Beckett,France;Ireland,"École normale supérieure, 45 rue d'Ulm, Paris;Hôtel Trianon Palace, 1 rue de Vaugirard, Paris;Chatto and Windus, 74–75 Piccadilly, London",75005;75006;W1J 8HT,5;6;,"48.84184, 2.34403;48.84877, 2.34104;51.50740, -0.14272",,2021-01-13T16:12:40+00:00
