city,sort_name,count_names
Paris,"André Gide, Anna Wickham, Archibald MacLeish, Cyril Connolly, David Gascoyne, Djuna Barnes, Douglas Goldring, Edwin Mims, Elizabeth Clark, Elliot Paul, Ernest Hemingway, Eugene Jolas, Ezra Pound, F. Scott Fitzgerald, Ford Madox Ford, George Antheil, Gertrude Stein, Glenway Wescott, Grace Flandrau, Henri Michaux, Iris Tree, James Boyd, James Joyce, James Stern, Jan Gordon, Jean Schlumberger, John Rodker, John Peale Bishop, Jules Romains, Katherine Mansfield, Katherine Anne Porter, Kathleen Coyle, Konrad Bercovici, Leon Edel, Leonard Merrick, Louis Bromfield, Louis Guilloux, Ludwig Lewisohn, Margaret Wilson, Margaret C. Anderson, Matthew Josephson, Max Eastman, Morley Callaghan, Myron Brinig, Natalie Clifford Barney, Nathan Asch, Odette Keun, Padraic Colum, Pierre de Lanux, Richard Aldington, Richard Le Gallienne, Robert Briffault, Robert McAlmon, Rollo Myers, Romer Wilson, Ruth McKenney, Régis Michaud, Samuel Beckett, Samuel Rogers, Sisley Huddleston, Solita Solano, Stephen Vincent Benét, Stuart Gilbert, Sylvia Beach, Thomas MacGreevy, Thornton Wilder, Valery Larbaud, William Bird, Élisabeth de Gramont",69
London,"Anna Wickham, C. K. Ogden, Cyril Connolly, Robert McAlmon, Samuel Beckett, Stephen Spender",6
Neuilly-sur-Seine,"Louis Aragon, Mary Cable Dennis, Richard Wright",3
Antibes,"Archibald MacLeish, Ernest Hemingway",2
Trieste,"James Joyce, Stanislaus Joyce",2
Nice,"Frank Harris, Robert McAlmon",2
Sèvres,Joseph Beach,1
Shoreham-by-Sea,Valery Larbaud,1
Saint-Cloud,Archibald MacLeish,1
Rueil-Malmaison,Ezra Pound,1
Pornic,Stuart Gilbert,1
Menton,Richard Le Gallienne,1
Barcelona,Ernest Hemingway,1
Madrid,Ernest Hemingway,1
Innsbruck,James Joyce,1
Gstaad,Ernest Hemingway,1
Granville,Archibald MacLeish,1
Courbevoie,Stuart Gilbert,1
Cambridge,C. K. Ogden,1
Cagnes-sur-Mer,Gertrude Stein,1
Warehorne,Stephen Spender,1
