latitude,longitude,sort_name,address
48.84835,2.34269,"Aldington, Richard","Select Hôtel, 1 place de la Sorbonne, Paris"
48.85908,2.32429,"Anderson, Margaret C.","80 rue de l'Université, Paris"
48.85092,2.33845,"Antheil, George","12 rue de l'Odéon, Paris"
48.88241,2.2712,"Aragon, Louis","12 rue Saint-Pierre, Neuilly-sur-Seine"
48.83907,2.33162,"Asch, Nathan","Hôtel Istria, 29 rue Campagne Première, Paris"
48.8477,2.3208,"Barnes, Djuna","9 rue Romain, Paris"
48.85536,2.33564,"Barney, Natalie Clifford","20 rue Jacob, Paris"
48.82231,2.2194,"Beach, Joseph","15 rue des Binelles, Sèvres"
48.85092,2.33845,"Beach, Sylvia","12 rue de l'Odéon, Paris"
48.84184,2.34403,"Beckett, Samuel","École normale supérieure, 45 rue d'Ulm, Paris"
48.84877,2.34104,"Beckett, Samuel","Hôtel Trianon Palace, 1 rue de Vaugirard, Paris"
51.5074,-0.14272,"Beckett, Samuel","Chatto and Windus, 74–75 Piccadilly, London"
48.85527,2.32557,"Benét, Stephen Vincent","4 boulevard Raspail, Paris"
48.85584,2.33484,"Benét, Stephen Vincent","21 rue Visconti, Paris"
48.85778,2.33036,"Bercovici, Konrad","24 rue de Verneuil, Paris"
48.85711,2.28489,"Bird, William","12 rue Vivienne, Paris"
48.85826,2.28675,"Bishop, John Peale","10 Square Alboni, Paris"
48.87384,2.29777,"Bishop, John Peale","Hôtel Lamballe, 45 avenue de Friedland, Paris"
48.8542,2.33269,"Boyd, James","Hotel Montana, 28 rue Saint-Benoît, Paris"
48.8552,2.33695,"Briffault, Robert","49 rue de Seine, Paris"
48.85703,2.34182,"Brinig, Myron","City Hôtel, 29 Place Dauphine, Paris"
48.86651,2.27207,"Bromfield, Louis","25 boulevard Flandrin, Paris"
,,Bryher,
48.83713,2.34214,"Callaghan, Morley","2 square de Port-Royal, Paris"
,,"Clarke, Austin","Hôtel Jules Cesar, Paris"
48.84456,2.32261,"Clark, Elizabeth","Hôtel Versailles, 60 boulevard du Montparnasse, Paris"
48.85092,2.33845,"Colum, Padraic","12 rue de l'Odéon, Paris"
48.85996,2.31835,"Connolly, Cyril","Hotel de Bourgogne, 7 rue de Bourgogne, Paris"
51.50914,-0.13569,"Connolly, Cyril","National Provincial Bank of England, 208 Piccadilly W., London"
48.84133,2.32801,"Connolly, Cyril","Grand Hôtel des Écoles, 15 rue Delambre, Paris"
48.8536,2.33687,"Connolly, Cyril","Hotel de la Louisiane, 60 rue de Seine, Paris"
,,"Cowley, Malcolm",Giverny
48.8359,2.3343,"Coyle, Kathleen","79 rue Denfert-Rochereau, Paris"
48.84969,2.3338,"Coyle, Kathleen","4 rue Férou, Paris"
48.85108,2.35902,"Coyle, Kathleen","6 rue Saint-Louis en l'Île, Paris"
48.85587,2.27626,"de Lanux, Pierre","34 rue des Vignes, Paris"
48.84762,2.33182,"de Lanux, Pierre","57 rue Madame, Paris"
48.88427,2.27859,"Dennis, Mary Cable","19 rue Perronet, Neuilly-sur-Seine"
48.84298,2.33099,"Eastman, Max","Hotel de Lutece, 5 rue Jules Chaplain, Paris"
48.85121,2.33717,"Edel, Leon","5 rue de Tournon, Paris"
,,"Firbank, Ronald","Denby Cottage, Richmond"
48.85069,2.33522,"Fitzgerald, F. Scott","3 rue Palatine, Paris"
48.84951,2.33627,"Flandrau, Grace","34 rue de Vaugirard, Paris"
48.85596,2.33698,"Ford, Ford Madox","31 rue de Seine, Paris"
40.81021,-73.95771,"Ford, Ford Madox","130 Morningside Drive, New York"
48.86715,2.32195,"Ford, Ford Madox","Guaranty Trust Company, 4 place de la Concorde, Paris"
48.85596,2.33333,"Gascoyne, David","Hotel Jacob, 44 rue Jacob, Paris"
48.85135,2.33746,"Gascoyne, David","Hotel de l'Odéon, 13 rue Saint-Sulpice, Paris"
48.85494,2.31997,"Gide, André","1 rue Vaneau, Paris"
48.90389,2.26982,"Gilbert, Stuart","42 avenue Pasteur, Courbevoie"
47.1073,-2.09624,"Gilbert, Stuart","La Chaumine, rue du Casino des Flots, Pornic"
48.85331,2.35379,"Gilbert, Stuart","7 rue Jean de Bellay, Paris"
48.87321,2.28155,"Goldring, Douglas","60 avenue du Bois de Boulogne, Paris"
48.84706,2.32339,"Gordon, Jan","5 rue de Bagneux, Paris"
,,"Gorman, Herbert Sherman",
48.85387,2.27812,"Gramont, Élisabeth de","69 rue Raynouard, Paris"
49.47052,1.07488,"Guilloux, Louis","20 rue le Verrier, Paris"
43.69556,7.26367,"Harris, Frank","American Express, 2 rue du Congrès, Nice"
48.84088,2.33409,"Hemingway, Ernest","113 rue Notre Dame des Champs, Paris"
48.83698,2.32462,"Hemingway, Ernest","69 rue Froidevaux, Paris"
46.47281,7.28668,"Hemingway, Ernest","Hotel Rössli, Promenade 10, Gstaad"
40.41678,-3.70379,"Hemingway, Ernest","Thomas Cook, Madrid"
43.55933,7.12715,"Hemingway, Ernest","112 chemin des Mougins, Antibes"
48.84949,2.33373,"Hemingway, Ernest","6 rue Férou, Paris"
24.55506,-81.77999,"Hemingway, Ernest",Key West
41.39346,2.16379,"Hemingway, Ernest","Hotel Majestic, Passeig de Gràcia 68, Barcelona"
48.85596,2.33333,"Hemingway, Ernest","Hotel Jacob, 44 rue Jacob, Paris"
48.83802,2.33055,"Huddleston, Sisley","248 boulevard Raspail, Paris"
48.85727,2.36354,"Jolas, Eugene","40 bis rue de Sevigné, Paris"
48.83913,2.34707,"Josephson, Matthew","39 rue de l'Arbalète, Paris"
45.65201,13.77801,"Joyce, James","6 via Cesare Battista, Trieste"
48.85665,2.3304,"Joyce, James","9 rue de l'Université, Paris"
48.85431,2.29681,"Joyce, James","26 avenue Charles Floquet, Paris"
48.85656,2.30218,"Joyce, James","Hôtel Eiffel Kensington, 79 avenue de la Bourdonnais, Paris"
48.85613,2.29416,"Joyce, James","8 avenue Charles Floquet, Paris"
48.85544,2.32591,"Joyce, James","5 boulevard Raspail, Paris"
48.85693,2.30038,"Joyce, James","1 avenue Emile Deschanel, Paris"
47.26462,11.39994,"Joyce, James","Grand Hotel Europa, Südtiroler Pl. 2, Innsbruck"
48.84559,2.32883,"Joyce, James","9 rue Huysmans, Paris"
48.84554,2.35023,"Joyce, James","71 rue du Cardinal Lemoine, Paris"
48.84944,2.33911,"Joyce, James","Hôtel Corneille, 5 rue Corneille, Paris"
