uri,title,author,editor,translator,introduction,illustrator,photographer,year,format,uncertain,ebook_url,volumes_issues,notes,event_count,borrow_count,purchase_count,circulation_years,updated
https://shakespeareandco.princeton.edu/books/gide-nourritures-terrestres/,Les Nourritures Terrestres,"Gide, André",,,,,,1897,Book,False,https://archive.org/details/lesnourritureste00gideuoft,,,1,0,1,1938,2021-11-12T12:47:36.686932+00:00
https://shakespeareandco.princeton.edu/books/merrick-actor-manager/,The Actor Manager,"Merrick, Leonard",,,,,,1898,Book,False,https://archive.org/details/actormanager00merrrich,,,1,1,0,1922,2021-01-17T22:01:25+00:00
https://shakespeareandco.princeton.edu/books/gide-immoralist/,The Immoralist,"Gide, André",,,,,,1902,Book,False,,,,2,2,0,1936;1935,2020-06-29T15:35:11+00:00
https://shakespeareandco.princeton.edu/books/merrick-conrad-quest-youth/,Conrad in Quest of His Youth,"Merrick, Leonard",,,,,,1903,Book,False,https://archive.org/details/conradinquestofh00merr,,,2,2,0,1921;1923,2021-04-18T18:52:08+00:00
https://shakespeareandco.princeton.edu/books/mims-sidney-lanier/,Sidney Lanier,"Mims, Edwin",,,,,,1905,Book,False,https://archive.org/details/sidneylanier00mims_0,,,1,1,0,1936,2021-11-06T01:46:44.326445+00:00
https://shakespeareandco.princeton.edu/books/ford-heart-country/,The Heart of the Country,"Ford, Ford Madox",,,,,,1906,Book,False,https://archive.org/details/heartofcountry00ford,,,1,1,0,1922,2021-06-23T03:05:09+00:00
https://shakespeareandco.princeton.edu/books/joyce-chamber-music/,Chamber Music,"Joyce, James",,,,,,1907,Book,False,https://archive.org/details/chambermusic00joycrich/page/n5/mode/2up,,,13,10,3,1920;1921;1922;1924;1958;1931;1935;1937;1938;1941,2020-08-30T16:23:52+00:00
https://shakespeareandco.princeton.edu/books/merrick-lynchs-daughter/,Lynch's Daughter,"Merrick, Leonard",,,,,,1908,Book,False,https://archive.org/details/lynchsdaughter00merriala,,,1,1,0,1924,2021-10-26T03:14:57.838104+00:00
https://shakespeareandco.princeton.edu/books/harris-bomb/,The Bomb,"Harris, Frank",,,,,,1908,Book,False,https://archive.org/details/bombharris00harruoft,,,1,1,0,1926,2021-03-28T20:53:15+00:00
https://shakespeareandco.princeton.edu/books/pound-exultations/,Exultations,"Pound, Ezra",,,,,,1909,Book,False,https://archive.org/details/exultationspoems00pounrich,,,1,1,0,1920,2020-07-18T01:07:22+00:00
https://shakespeareandco.princeton.edu/books/pound-personae/,Personae,"Pound, Ezra",,,,,,1909,Book,False,https://archive.org/details/in.ernet.dli.2015.93452,,,2,2,0,1930;1939,2020-07-18T01:10:02+00:00
https://shakespeareandco.princeton.edu/books/harris-man-shakespeare-tragic/,The Man Shakespeare and His Tragic Life Story,"Harris, Frank",,,,,,1909,Book,False,https://archive.org/details/manshakespearehi0000harr/page/n9/mode/2up,,,1,1,0,1926,2021-11-15T19:57:18.662117+00:00
https://shakespeareandco.princeton.edu/books/stein-three-lives/,Three Lives,"Stein, Gertrude",,,,,,1909,Book,False,https://archive.org/details/threelivesbygert00stei/page/n6/mode/2up,,,20,20,0,1920;1922;1927;1929;1930;1934;1936;1937;1938;1939;1940;1941,2020-05-12T17:17:52+00:00
https://shakespeareandco.princeton.edu/books/mansfield-german-pension/,In a German Pension,"Mansfield, Katherine",,,,,,1911,Book,False,https://archive.org/details/ingermanpension00mansrich/page/n7/mode/2up,,,8,8,0,1926;1927;1929;1934;1937,2020-08-23T19:55:31+00:00
https://shakespeareandco.princeton.edu/books/ford-ladies-whose-bright/,Ladies Whose Bright Eyes: A Romance,"Ford, Ford Madox",,,,,,1911,Book,False,https://archive.org/details/ladieswhosebrigh00ford,,,3,3,0,1937;1922,2021-07-18T00:41:31+00:00
https://shakespeareandco.princeton.edu/books/ford-critical-attitude/,The Critical Attitude,"Ford, Ford Madox",,,,,,1911,Book,False,https://archive.org/details/criticalattitude00forduoft,,,2,2,0,1922,2021-05-01T17:18:47+00:00
https://shakespeareandco.princeton.edu/books/joyce-dubliners/,Dubliners,"Joyce, James",,,,,,1914,Book,False,https://archive.org/details/dubliners00joyc_8/page/n8/mode/2up,,,50,47,2,1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1931;1934;1935;1936;1938;1939;1941,2020-04-30T19:40:20+00:00
https://shakespeareandco.princeton.edu/books/harris-great-days-novel/,Great Days: A Novel,"Harris, Frank",,,,,,1914,Book,False,https://archive.org/details/greatdays00harrrich,,,1,1,0,1940,2021-06-22T02:57:13+00:00
https://shakespeareandco.princeton.edu/books/huddleston-poincare-biographical-portrait/,Poincaré: A Biographical Portrait,"Huddleston, Sisley",,,,,,1914,Book,False,https://archive.org/details/poincareabiograp000413mbp,,,1,1,0,1924,2020-06-28T22:09:42+00:00
https://shakespeareandco.princeton.edu/books/stein-tender-buttons/,Tender Buttons,"Stein, Gertrude",,,,,,1914,Book,False,https://archive.org/details/tenderbuttonsobj00steirich,,,1,1,0,1922,2020-07-18T02:51:09+00:00
https://shakespeareandco.princeton.edu/books/romains-death-nobody/,The Death of a Nobody,"Romains, Jules",,"MacCarthy, Desmond;Waterlow, Sydney",,,,1914,Book,False,,,,4,4,0,1928;1931;1932;1936,2020-04-30T19:40:15+00:00
https://shakespeareandco.princeton.edu/books/harris-yellow-ticket-stories/,The Yellow Ticket and Other Stories,"Harris, Frank",,,,,,1914,Book,False,,,,5,5,0,1922;1924;1925;1926,2020-04-30T19:40:16+00:00
https://shakespeareandco.princeton.edu/books/harris-contemporary-portraits/,Contemporary Portraits,"Harris, Frank",,,,,,1915,Book,False,https://archive.org/details/contemporaryport00harr,,,6,6,0,1924;1926;1928;1929;1930,2021-04-18T18:57:56+00:00
https://shakespeareandco.princeton.edu/books/ford-good-soldier/,The Good Soldier,"Ford, Ford Madox",,,,,,1915,Book,False,https://archive.org/details/in.ernet.dli.2015.65708,,,3,3,0,1928;1923;1924,2021-06-22T02:31:53+00:00
https://shakespeareandco.princeton.edu/books/firbank-vainglory/,Vainglory,"Firbank, Ronald",,,,,,1915,Book,False,,,,3,3,0,1926;1927,2020-04-30T19:40:20+00:00
https://shakespeareandco.princeton.edu/books/joyce-portrait-artist-young/,A Portrait of the Artist as a Young Man,"Joyce, James",,,,,,1916,Book,False,https://archive.org/details/portraitofartist00joycrich/page/n6/mode/2up,1928,,63,56,5,1920;1921;1922;1923;1924;1925;1926;1928;1929;1930;1931;1933;1934;1935;1936;1937;1938;1939;1940;1941,2021-02-25T15:33:55+00:00
https://shakespeareandco.princeton.edu/books/pound-gaudier-brzeska-memoir/,Gaudier-Brzeska: A Memoir,"Pound, Ezra",,,,,,1916,Book,False,https://archive.org/details/gaudierbrzeska00pounrich,,,1,1,0,1934,2020-07-18T01:08:25+00:00
https://shakespeareandco.princeton.edu/books/firbank-inclinations/,Inclinations,"Firbank, Ronald",,,,,,1916,Book,False,,,,1,1,0,1933,2021-07-12T00:59:19+00:00
https://shakespeareandco.princeton.edu/books/pound-lustra/,Lustra,"Pound, Ezra",,,,,,1916,Book,False,https://archive.org/stream/ofezrapounlustra00pounrich,,,1,1,0,1920,2020-07-17T21:23:53+00:00
https://shakespeareandco.princeton.edu/books/goldring-margots-progress/,Margot's Progress,"Goldring, Douglas",,,,,,1916,Book,False,https://archive.org/details/margotsprogress00goldiala,,,1,1,0,1920,2021-11-15T19:31:27.922276+00:00
https://shakespeareandco.princeton.edu/books/firbank-odette/,Odette: A Fairy Tale for Weary People,"Firbank, Ronald",,,,,,1916,Book,False,https://archive.org/details/odettefairytalef00firbuoft/page/n12/mode/2up,,,1,1,0,1925,2020-05-04T20:37:04+00:00
https://shakespeareandco.princeton.edu/books/harris-oscar-wilde-life/,Oscar Wilde: His Life and Confessions,"Harris, Frank",,,,,,1916,Book,False,https://archive.org/details/oscarwildehislif01harrrich,Vol. 1;Vol. 2;2 vols.,,11,11,0,1925;1927;1934;1935;1936;1939,2020-07-13T12:42:17+00:00
https://shakespeareandco.princeton.edu/books/wickham-man-hammer-verses/,The Man with a Hammer: Verses,"Wickham, Anna",,,,,,1916,Book,False,https://archive.org/details/manwithhammerver00wick,,,1,1,0,1934,2021-02-28T00:14:41+00:00
https://shakespeareandco.princeton.edu/books/colum-three-plays-fiddlers/,"Three Plays: The Fiddler's House, The Land, Thomas Muskerry","Colum, Padraic",,,,,,1916,Book,False,https://archive.org/details/threeplaysfiddle01colu,,,3,3,0,1936;1933;1935,2021-11-03T01:44:22.974766+00:00
https://shakespeareandco.princeton.edu/books/merrick-chair-boulevard/,A Chair on the Boulevard,"Merrick, Leonard",,,,,,1917,Book,False,https://archive.org/details/achaironbouleva00unkngoog,,,6,6,0,1921;1924;1925;1928;1931;1937,2021-04-02T18:43:35+00:00
https://shakespeareandco.princeton.edu/books/de-lanux-young-france-new/,Young France and New America,"de Lanux, Pierre",,,,,,1917,Book,False,https://archive.org/details/youngfranceandn01lanugoog,,,1,1,0,1921,2021-01-07T19:04:21+00:00
https://shakespeareandco.princeton.edu/books/eastman-colors-life-poems/,Colors of Life: Poems and Songs and Sonnets,"Eastman, Max",,,,,,1918,Book,False,https://archive.org/details/colorsoflifepoem00eastuoft,,,1,1,0,1920;1919,2021-04-18T18:13:56+00:00
https://shakespeareandco.princeton.edu/books/joyce-exiles/,Exiles,"Joyce, James",,,,,,1918,Book,False,https://archive.org/details/playinthreexiles00joycrich/page/n6/mode/2up,,,33,31,1,1920;1921;1922;1923;1925;1926;1927;1928;1929;1930;1931;1933;1936;1938;1939;1941,2020-05-12T17:21:59+00:00
