,item_title,author,borrow_count
0,Saturday Review of Literature,,9
1,transition,,8
2,Thomas De Quincey's Works,"de Quincey, Thomas",6
3,The Dial,,4
4,A Portrait of the Artist as a Young Man,"Joyce, James",4
5,New Masses,,4
6,Hound & Horn,,4
7,Broom,,4
8,The Symposium: A Critical Review,,3
9,A Companion Volume,"McAlmon, Robert",3
10,The New Republic,,3
11,Three Lives,"Stein, Gertrude",3
12,Warrant for X,"MacDonald, Philip",3
13,The Autobiography of Alice B. Toklas,"Stein, Gertrude",3
14,And Even Now,"Beerbohm, Max",3
15,"The Works of Sterne: The Life and Opinions of Tristram Shandy, Gentleman & A Sentimental Journey through France and Italy","Sterne, Laurence",3
16,The Diaboliques,"Barbey d'Aurevilly, Jules",3
17,A Sportsman's Sketches,"Turgenev, Ivan",3
18,A General History of the Robberies and Murders of the Most Notorious Pirates,"Johnson, Captain Charles",3
19,Lady Chatterley's Lover,"Lawrence, D. H.",3
20,"A Gascon Royalist in Revolutionary Paris: The Baron de Batz, 1792 – 1795","Lenotre, G.",3
21,Travels in Arabia Deserta,"Doughty, Charles Montagu",3
